"","en"
"flash_character_stats_stat02_3","Shields: "
"flash_character_stats_stat02_fury","Fury: "
"flash_character_stats_stat02_heat","Heat: "
"flash_character_stats_stat03","Attack Damage: "
"flash_character_stats_stat04","Range: "
"flash_character_stats_stat05","Armor: "
"flash_character_stats_stat06","Dodge: "
"flash_character_stats_stat07","Ability Power: "
"flash_character_stats_stat08","Magic Resist: "
"flash_character_stats_stat09","Attack Speed: "
"flash_character_stats_stat10","Movement Speed: "
"flash_character_stats_stat11","Crit Chance: "
"flash_character_stats_stat12","HP Regen per 5: "
"flash_character_stats_stat13","MP Regen per 5: "
"flash_character_stats_stat13_1","Energy Regen per 5: "
"flash_character_stats_stat14","Armor Penetration: "
"flash_character_stats_stat15","Lifesteal: "
"flash_character_stats_stat16","Spell Penetration: "
"flash_character_stats_stat17","Spell Vamp: "
"flash_character_stats_stat18","Cooldown Reduction: "
"flash_character_tips","Tips"
"flash_character_title","Champion Info"
"flash_cost_unavailable","UNAVAILABLE"
"flash_deathRecap_ability_title","ABILITY"
"flash_deathRecap_assist_title","ASSIST"
"flash_deathRecap_basicAttack_text","Basic Attack"
"flash_deathRecap_damage","Damage"
"flash_deathRecap_damage_debuff","Status Effect"
"flash_deathRecap_damage_magic","Magic Damage"
"flash_deathRecap_damage_physical","Physical Damage"
"flash_deathRecap_damage_true","True Damage"
"flash_deathRecap_damage_unit","damage in "
"flash_deathRecap_defaultTooltip","Mouse over the elements above for additional information."
"flash_deathRecap_item_title","ITEM"
"flash_deathRecap_killer_clone","Clone"
"flash_deathRecap_killer_fallen","Fallen"
"flash_deathRecap_killer_minion","Minion"
"flash_deathRecap_killer_pet","Pet"
"flash_deathRecap_killer_title","KILLER"
"flash_deathRecap_killer_tower","Tower"
"flash_deathRecap_time_unit","second(s)"
"flash_deathRecap_title","Death Recap"
"flash_deathRecap_toggleText","Click for Death Recap"
"flash_endOfGame_continue","CONTINUE"
"flash_endOfGame_defeat","DEFEAT"
"flash_endOfGame_victory","VICTORY"
"flash_hud_AttributeTitle0",""
"flash_hud_AttributeTitle1",""
"flash_hud_AttributeTitle2",""
"flash_hud_AttributeTitle3",""
"flash_hud_AttributeTitle4",""
"flash_hud_AttributeTitle5",""
"flash_hud_Chat_Alert","ALERT - "
"flash_hud_Chat_All","[All]"
"flash_hud_Chat_Disabled","Chat is temporarily disabled while we improve our service."
"flash_hud_Chat_Disconnected","ERROR - The connection to the PVP.net chat server has been lost.  You will be unable to send and receive whispers until your next session."
"flash_hud_Chat_Error_Ignore","ERROR[Ignore...]: Can't find player"
"flash_hud_Chat_Error_IgnoreCheck","ERROR[IsIgnore...]: Can't find player"
"flash_hud_Chat_Error_Mute","ERROR[Mute...]: Can't find player"
"flash_hud_Chat_Info_Add","INFO: Add"
"flash_hud_Chat_Info_Buddy_List","Buddy"
"flash_hud_Chat_Info_Ignore_Add","User is now being Ignored"
"flash_hud_Chat_Info_Ignore_List","Ignore"
"flash_hud_Chat_Info_Ignore_Message","is not in your buddy list. <br>Ignore will only last for current game session. <br>To permanently ignore, add player to your buddy list and ignore."
"flash_hud_Chat_Info_Ignore_Remove","User is no longer being Ignored"
"flash_hud_Chat_Info_Mute_List","Mute"
"flash_hud_Chat_Info_Remove","INFO: Remove"
"flash_hud_Chat_NeverConnected","ERROR - Unable to establish a connection with PVP.net chat server."
"flash_hud_Chat_Not_Connected","ERROR - Not connected to PVP.net chat -"
"flash_hud_Chat_To","[To] "
"flash_hud_Chat_UserNotFound","ERROR - The user was not found in your friend list - "
"flash_hud_Chat_UserNotFoundAnywhere","ERROR - The user was not found in your friend list or in game - "
"flash_hud_Chat_UserOffline","Error - That user is offline."
"flash_hud_Chat_Whisper_Help","/w <name> <message>"
"flash_hud_ChatBoxClearHistory","Clear History"
"flash_hud_ChatBoxSendAll","Send All"
"flash_hud_ChatBoxSendTeam","Send Team"
"flash_hud_ExperienceBarLevelPrefix","Lv: "
"flash_hud_Level","Level"
"flash_hud_MaxLevel","Max Level"
"flash_hud_PiwArmor","Armor: "
"flash_hud_PiwDamage","Damage: "
"flash_hud_PiwSpeed","Speed: "
"flash_hud_PiwSpellDamage","Spell Dmg: "
"flash_hud_PiwStats","Stats"
"flash_hud_RespawnIn","Respawning in:"
"flash_hud_SideBarMenu","MENU"
"flash_itemShop_broker_btnBuy_buy","BUY"
"flash_itemShop_broker_btnSell_sell","SELL"
"flash_itemShop_broker_goldTitle","Gold"
"flash_itemShop_builds_buildTitle","Builds:"
"flash_itemShop_categories_Armor","Armor"
"flash_itemShop_categories_Attack","Attack"
"flash_itemShop_categories_AttackSpeed","Attack Speed"
"flash_itemShop_categories_back","Back"
"flash_itemShop_categories_Consumables","Consumables"
"flash_itemShop_categories_CooldownReducton","Cooldown Reduction"
"flash_itemShop_categories_CriticalStrike","Critical Strike"
"flash_itemShop_categories_crumbHome","HOME"
"flash_itemShop_categories_Damage","Damage"
"flash_itemShop_categories_Defense","Defense"
"flash_itemShop_categories_Health","Health"
"flash_itemShop_categories_HealthRegen","Health Regen"
"flash_itemShop_categories_Internal","Internal"
"flash_itemShop_categories_LifeSteal","Life Steal"
"flash_itemShop_categories_Magic","Magic"
"flash_itemShop_categories_Mana","Mana"
"flash_itemShop_categories_ManaRegen","Mana Regen"
"flash_itemShop_categories_message0","Welcome to the Item Shop.  Please select a category to start browsing through the items."
"flash_itemShop_categories_message1","Please select a second category."
"flash_itemShop_categories_message2","Select an item to view details."
"flash_itemShop_categories_Movement","Movement"
"flash_itemShop_categories_SpellBlock","Magic Resist"
"flash_itemShop_categories_SpellDamage","Ability Power"
"flash_itemShop_inventory_title","INVENTORY"
"flash_itemshop_outofrange","You can not shop now. Return to your base in order to shop."
"flash_itemShop_recommnededItems_recommend","Recommended Items"
"flash_itemShop_requireGraph_requiresTitle","Requires:"
"flash_itemShop_titleBar_title","Item  Shop"
"flash_itemShop_tooltip_cost","Cost:"
"flash_itemShop_tooltip_OriginalCost","Original Cost:"
"flash_itemShop_tooltip_sellsfor","Sells for:"
"flash_itemShop_tooltip_upgradeCost","Upgrade Cost:"
"flash_minimap_active","Active"
"flash_minimap_destroyed","Destroyed"
"flash_minimap_inhibitor","Inhibitor"
"flash_minimap_nexus","Nexus"
"flash_minimap_turret","Turret"
"flash_options_back","Cancel"
"flash_options_end_confirm","We would like to remind you that leaving games is in contradiction to the Summoner's Code. Please note that leaving in Matchmade games repeatedly may lead to a temporary account suspension. Do you still wish to quit the game?"
"flash_options_end_confirm_spectator","Are you sure you want to quit?"
"flash_options_end_no","No"
"flash_options_end_yes","Yes"
"flash_options_interface_chat_scale","HUD Chat Scale"
"flash_options_interface_critical","Critical"
"flash_options_interface_damage","Damage"
"flash_options_interface_display","Display"
"flash_options_interface_dodge","Dodge"
"flash_options_interface_experience","Experience"
"flash_options_interface_floating","Floating Text"
"flash_options_interface_gold","Gold"
"flash_options_interface_goldKill","Gold Kill"
"flash_options_interface_goldOther","Gold Other"
"flash_options_interface_heal","Heal"
"flash_options_interface_health","Health Loss"
"flash_options_interface_hpBars","Show HP Bars"
"flash_options_interface_hud_reset","Reset Hud"
"flash_options_interface_invulnerable","Invulnerable"
"flash_options_interface_level","Level"
"flash_options_interface_mana","Mana Heal"
"flash_options_interface_manaDamage","Mana Damage"
"flash_options_interface_newbie","Show Newbie Tips"
"flash_options_interface_physical","Physical Immune"
"flash_options_interface_scale","HUD Scale"
"flash_options_interface_special","Special"
"flash_options_interface_spell","Spell Immune"
"flash_options_interface_title","Interface"
"flash_options_key_alternate","Alternate Key"
"flash_options_key_binding_error_message","cannot be bound as specified"
"flash_options_key_category_name1","Spell Casting"
"flash_options_key_category_name2","Miscellaneous"
"flash_options_key_category_name3","Camera Control"
"flash_options_key_category_name4","Player Movement"
"flash_options_key_category_name5","Console"
"flash_options_key_category_name6","Inventory Items"
"flash_options_key_category_replay","Spectator Controls"
"flash_options_key_command","Command"
"flash_options_key_conflict","There is a conflict with another key binding. What do you wish to do?"
"flash_options_key_continue","Continue"
"flash_options_key_key_string","key"
"flash_options_key_key1","Primary"
"flash_options_key_key2","Secondary"
"flash_options_key_name_evntPlayerPing","Quick Alert Ping"
"flash_options_key_name_evntPlayerPingCursor","Alert Ping"
"flash_options_key_name_evntPlayerPingCursorDanger","Retreat Ping"
"flash_options_key_name_evntPlayerPingDanger","Quick Retreat Ping"
"flash_options_key_name_evtCameraLockToggle","Toggle Camera Lock"
"flash_options_key_name_evtCameraSnap","Center Camera On Champion"
"flash_options_key_name_evtCastAvatarSpell1","Summoner Spell 1"
"flash_options_key_name_evtCastAvatarSpell2","Summoner Spell 2"
"flash_options_key_name_evtCastSpell1","Cast Spell 1"
"flash_options_key_name_evtCastSpell2","Cast Spell 2"
"flash_options_key_name_evtCastSpell3","Cast Spell 3"
"flash_options_key_name_evtCastSpell4","Cast Spell 4"
"flash_options_key_name_evtChatConsoleReturn","Chat Console Return"
"flash_options_key_name_evtChatHistory","Chat History"
"flash_options_key_name_evtDrawHud","Draw HUD"
"flash_options_key_name_evtEmoteDance","Dance"
"flash_options_key_name_evtEmoteJoke","Joke"
"flash_options_key_name_evtEmoteLaugh","Laugh"
"flash_options_key_name_evtEmoteTaunt","Taunt"
"flash_options_key_name_evtHideHUD","Hide HUD"
"flash_options_key_name_evtLevelSpell1","Level Up Spell 1"
"flash_options_key_name_evtLevelSpell2","Level Up Spell 2"
"flash_options_key_name_evtLevelSpell3","Level Up Spell 3"
"flash_options_key_name_evtLevelSpell4","Level Up Spell 4"
"flash_options_key_name_evtOnUIMouse4Pan","Mouse Scroll"
"flash_options_key_name_evtOpenShop","Open Shop"
"flash_options_key_name_evtPlayerAttackMove","Player Attack Move"
"flash_options_key_name_evtPlayerAttackMoveClick","Player Attack Move Click"
"flash_options_key_name_evtPlayerAttackOnlyClick","Player Attack Only Click"
"flash_options_key_name_evtPlayerHoldPosition","Player Hold Position"
"flash_options_key_name_evtPlayerMoveClick","Player Move Click"
"flash_options_key_name_evtPlayerSelectClick","Player Select Click"
"flash_options_key_name_evtPlayerStopPosition","Player Stop Position"
"flash_options_key_name_evtScrollDown","Scroll Down"
"flash_options_key_name_evtScrollLeft","Scroll Left"
"flash_options_key_name_evtScrollRight","Scroll Right"
"flash_options_key_name_evtScrollUp","Scroll Up"
"flash_options_key_name_evtSelectAlly1","Select Ally 1"
"flash_options_key_name_evtSelectAlly2","Select Ally 2"
"flash_options_key_name_evtSelectAlly3","Select Ally 3"
"flash_options_key_name_evtSelectAlly4","Select Ally 4"
"flash_options_key_name_evtSelectPlayer1","Select Blue Player 1"
"flash_options_key_name_evtSelectPlayer10","Select Purple Player 5"
"flash_options_key_name_evtSelectPlayer2","Select Blue Player 2"
"flash_options_key_name_evtSelectPlayer3","Select Blue Player 3"
"flash_options_key_name_evtSelectPlayer4","Select Blue Player 4"
"flash_options_key_name_evtSelectPlayer5","Select Blue Player 5"
"flash_options_key_name_evtSelectPlayer6","Select Purple Player 1"
"flash_options_key_name_evtSelectPlayer7","Select Purple Player 2"
"flash_options_key_name_evtSelectPlayer8","Select Purple Player 3"
"flash_options_key_name_evtSelectPlayer9","Select Purple Player 4"
"flash_options_key_name_evtSelectSelf","Select Self"
"flash_options_key_name_evtSelfCastAvatarSpell1","Self Cast Summoner Spell 1"
"flash_options_key_name_evtSelfCastAvatarSpell2","Self Cast Summoner Spell 2"
"flash_options_key_name_evtSelfCastSpell1","Self Cast Spell 1"
"flash_options_key_name_evtSelfCastSpell2","Self Cast Spell 2"
"flash_options_key_name_evtSelfCastSpell3","Self Cast Spell 3"
"flash_options_key_name_evtSelfCastSpell4","Self Cast Spell 4"
"flash_options_key_name_evtSetVisibilityTeam1","Set Fog of War to Blue Team"
"flash_options_key_name_evtSetVisibilityTeam2","Set Fog of War to Purple Team"
"flash_options_key_name_evtSetVisibilityTeamNone","Set Fog of War to All"
"flash_options_key_name_evtShowAllConsole","Show All Console"
"flash_options_key_name_evtShowCharacterMenu","Show Character Menu"
"flash_options_key_name_evtShowConsole","Show Console"
"flash_options_key_name_evtShowHealthBars","Show Health Bars"
"flash_options_key_name_evtShowScoreBoard","Show Score Board"
"flash_options_key_name_evtShowSummonerNames","Show Summoner Names"
"flash_options_key_name_evtSmartCastAvatarSpell1","Smart Cast Summoner Spell 1"
"flash_options_key_name_evtSmartCastAvatarSpell2","Smart Cast Summoner Spell 2"
"flash_options_key_name_evtSmartCastItem1","Smart Cast Item 1"
"flash_options_key_name_evtSmartCastItem2","Smart Cast Item 2"
"flash_options_key_name_evtSmartCastItem3","Smart Cast Item 3"
"flash_options_key_name_evtSmartCastItem4","Smart Cast Item 4"
"flash_options_key_name_evtSmartCastItem5","Smart Cast Item 5"
"flash_options_key_name_evtSmartCastItem6","Smart Cast Item 6"
"flash_options_key_name_evtSmartCastSpell1","Smart Cast Spell 1"
"flash_options_key_name_evtSmartCastSpell2","Smart Cast Spell 2"
"flash_options_key_name_evtSmartCastSpell3","Smart Cast Spell 3"
"flash_options_key_name_evtSmartCastSpell4","Smart Cast Spell 4"
"flash_options_key_name_evtSmartPlusSelfCastAvatarSpell1","Smart+Self Cast Summoner Spell 1"
"flash_options_key_name_evtSmartPlusSelfCastAvatarSpell2","Smart+Self Cast Summoner Spell 2"
"flash_options_key_name_evtSmartPlusSelfCastSpell1","Smart+Self Cast Spell 1"
"flash_options_key_name_evtSmartPlusSelfCastSpell2","Smart+Self Cast Spell 2"
"flash_options_key_name_evtSmartPlusSelfCastSpell3","Smart+Self Cast Spell 3"
"flash_options_key_name_evtSmartPlusSelfCastSpell4","Smart+Self Cast Spell 4"
"flash_options_key_name_evtSysMenu","System Menu"
"flash_options_key_name_evtToggleFogOfWar","Toggle Fog of War"
"flash_options_key_name_evtToggleFPSAndLatency","Toggle FPS Display"
"flash_options_key_name_evtToggleMinionHealthBars","Toggle Minion Health Bars"
"flash_options_key_name_evtToggleObserverVisibility","Toggle Fog of War Team"
"flash_options_key_name_evtToggleReplayUI","Toggle Spectator HUD"
"flash_options_key_name_evtUseItem1","Use Item 1"
"flash_options_key_name_evtUseItem2","Use Item 2"
"flash_options_key_name_evtUseItem3","Use Item 3"
"flash_options_key_name_evtUseItem4","Use Item 4"
"flash_options_key_name_evtUseItem5","Use Item 5"
"flash_options_key_name_evtUseItem6","Use Item 6"
"flash_options_key_name_evtUseItem7","Teleport Home"
"flash_options_key_primary","Primary Key"
"flash_options_key_reset","Reset All"
"flash_options_key_revert","Revert"
"flash_options_key_reverted","is now reverted..."
"flash_options_key_title","Key Bindings"
"flash_options_key_tooltip_evntPlayerPing","evntPlayerPing"
"flash_options_key_tooltip_evntPlayerPingCursor","evntPlayerPingCursor"
"flash_options_key_tooltip_evntPlayerPingCursorDanger","evntPlayerPingCursorDanger"
"flash_options_key_tooltip_evntPlayerPingDanger","evntPlayerPingDanger"
"flash_options_key_tooltip_evtCameraLockToggle","evtCameraLockToggle"
"flash_options_key_tooltip_evtCameraSnap","evtCameraSnap"
"flash_options_key_tooltip_evtCastAvatarSpell1","CastAvatarSpell1"
"flash_options_key_tooltip_evtCastAvatarSpell2","CastAvatarSpell2"
"flash_options_key_tooltip_evtCastSpell1","Trigger casting of champion spell in slot1"
"flash_options_key_tooltip_evtCastSpell2","Trigger casting of champion spell in slot2"
"flash_options_key_tooltip_evtCastSpell3","Trigger casting of champion spell in slot3"
"flash_options_key_tooltip_evtCastSpell4","Trigger casting of champion spell in slot4"
"flash_options_key_tooltip_evtChatHistory","evtChatHistory"
"flash_options_key_tooltip_evtDrawHud","evtDrawHud"
"flash_options_key_tooltip_evtEmoteDance","Play the Dance emote"
"flash_options_key_tooltip_evtEmoteJoke","Play the Joke emote"
"flash_options_key_tooltip_evtEmoteLaugh","Play the Laugh emote"
"flash_options_key_tooltip_evtEmoteTaunt","Play the Taunt emote"
"flash_options_key_tooltip_evtHoldShowScoreBoard","evtHoldShowScoreBoard"
"flash_options_key_tooltip_evtLevelSpell1","evtLevelSpell1"
"flash_options_key_tooltip_evtLevelSpell2","evtLevelSpell2"
"flash_options_key_tooltip_evtLevelSpell3","evtLevelSpell3"
"flash_options_key_tooltip_evtLevelSpell4","evtLevelSpell4"
"flash_options_key_tooltip_evtOpenShop","evtOpenShop"
"flash_options_key_tooltip_evtPlayerAttackMove","evtPlayerAttackMove"
"flash_options_key_tooltip_evtPlayerAttackMoveClick","evtPlayerAttackMoveClick"
"flash_options_key_tooltip_evtPlayerAttackOnlyClick","evtPlayerAttackOnlyClick"
"flash_options_key_tooltip_evtPlayerHoldPosition","evtPlayerHoldPosition"
"flash_options_key_tooltip_evtPlayerMoveClick","evtPlayerMoveClick"
"flash_options_key_tooltip_evtPlayerStopPosition","evtPlayerStopPosition"
"flash_options_key_tooltip_evtScrollDown","evtScrollDown"
"flash_options_key_tooltip_evtScrollLeft","evtScrollLeft"
"flash_options_key_tooltip_evtScrollRight","evtScrollRight"
"flash_options_key_tooltip_evtScrollUp","evtScrollUp"
"flash_options_key_tooltip_evtShowAllConsole","evtShowAllConsole"
"flash_options_key_tooltip_evtShowCharacterMenu","evtShowCharacterMenu"
"flash_options_key_tooltip_evtShowConsole","evtShowConsole"
"flash_options_key_tooltip_evtShowHealthBars","evtShowHealthBars"
"flash_options_key_tooltip_evtShowScoreBoard","evtShowScoreBoard"
"flash_options_key_tooltip_evtShowSummonerNames","evtShowSummonerNames"
"flash_options_key_tooltip_evtToggleFPSAndLatency","Toggle display of FPS and Latency."
"flash_options_key_tooltip_evtToggleMinionHealthBars","evtToggleMinionHealthBars"
"flash_options_key_tooltip_evtUseItem1","evtUseItem1"
"flash_options_key_tooltip_evtUseItem2","evtUseItem2"
"flash_options_key_tooltip_evtUseItem3","evtUseItem3"
"flash_options_key_tooltip_evtUseItem4","evtUseItem4"
"flash_options_key_tooltip_evtUseItem5","evtUseItem5"
"flash_options_key_tooltip_evtUseItem6","evtUseItem6"
"flash_options_key_tooltip_evtUseItem7","evtUseItem7"
"flash_options_key_unbindKey","Unbind Key"
"flash_options_key_unbound","is now unbound..."
"flash_options_key_unbound_message","is now unbound"
"flash_options_key_unboundString","[<Unbound>]"
"flash_options_main_back","Back"
"flash_options_main_end","End Game"
"flash_options_main_interface","Interface"
"flash_options_main_key","Key Bindings"
"flash_options_main_more","More Options"
"flash_options_main_sound","Sound"
"flash_options_main_title","Options"
"flash_options_main_video","Video"
"flash_options_more_alienware_lightfx","Alienware LightFX"
"flash_options_more_auto_display_target","Auto-Display Target"
"flash_options_more_camera","Camera Options"
"flash_options_more_cooldown_format","Cooldown Display"
"flash_options_more_cooldown_format_dd0","None"
"flash_options_more_cooldown_format_dd1","Sec"
"flash_options_more_coolDownFormat_dd2","Min:Sec"
"flash_options_more_coolDownFormat_dd3","Simplified"
"flash_options_more_flash_screen_when_damaged","Flash Red When Damaged"
"flash_options_more_flip","Flip Camera"
"flash_options_more_flip_minimap","Flip Minimap"
"flash_options_more_hideWall","Hide Center HUD Wall"
"flash_options_more_interface","Interface Options"
"flash_options_more_linemissilevisible","Line Missile Display"
"flash_options_more_map","Map Options"
"flash_options_more_mouse_speed","Mouse Speed"
"flash_options_more_neutral","Show Neutral Camps"
"flash_options_more_numeric_cooldown_format","Display Format"
"flash_options_more_predictmovement","Use Movement Prediction"
"flash_options_more_scroll","Map Scroll Speed"
"flash_options_more_smartcast_range","Smartcast Range Indicators"
"flash_options_more_snow_enabled","Enable Snow"
"flash_options_more_surrender","Surrender"
"flash_options_more_surrenderReason","Unable to surrender due to the game situation being not all that bad."
"flash_options_more_title","More Options"
"flash_options_ok","OK"
"flash_options_sound_announcer","Announcer"
"flash_options_sound_disableAllSound","Disable All Sound"
"flash_options_sound_master","Master Volume"
"flash_options_sound_music","Music Volume"
"flash_options_sound_note","*Disabling sound effects may improve performance."
"flash_options_sound_sfx","Sound FX Volume"
"flash_options_sound_title","Sound"
"flash_options_sound_voice","Voice Volume"
"flash_options_video_advanced_video_options","Advanced Options"
"flash_options_video_character","Character Quality"
"flash_options_video_colorblind_mode","Colorblind Mode"
"flash_options_video_effects","Effects Quality"
"flash_options_video_environment","Environment Quality"
"flash_options_video_frameRateCap","Frame Rate Cap"
"flash_options_video_frameRateCap_dd0","Stable"
"flash_options_video_frameRateCap_dd1","High Framerate"
"flash_options_video_frameRateCap_dd2","Benchmark"
"flash_options_video_frameRateCap_dd3","25 FPS"
"flash_options_video_frameRateCap_dd4","30 FPS"
"flash_options_video_frameRateCap_dd5","60 FPS"
"flash_options_video_frameRateCap_dd6","80 FPS"
"flash_options_video_full3DMode","Fast Terrain"
"flash_options_video_noShadow","No Shadow"
"flash_options_video_quality_dd0","Very Low"
"flash_options_video_quality_dd1","Low"
"flash_options_video_quality_dd2","Medium"
"flash_options_video_quality_dd3","High"
"flash_options_video_quality_dd4","Very High"
"flash_options_video_resolution","Resolution"
"flash_options_video_resolution_dd0","1024x768"
"flash_options_video_resolution_dd1","1280x1024"
"flash_options_video_resolution_dd2","1680x1050"
"flash_options_video_resolution_dd3","1440x900"
"flash_options_video_resolution_dd4","1280x800"
"flash_options_video_resolution_dd5","1280x720"
"flash_options_video_settings","Settings"
"flash_options_video_settings_dd0","Auto"
"flash_options_video_settings_dd1","Custom"
"flash_options_video_shadows","Shadows"
"flash_options_video_title","Video"
"flash_options_video_video_options","Video Options"
"flash_options_video_waitForVerticalSync","Wait for Vertical Sync"
"flash_options_video_window","Windowed Mode"
"flash_options_video_window_borderlessWindow","Borderless"
"flash_options_video_window_fullScreen","Full Screen"
"flash_options_video_window_windowedMode","Windowed"
"flash_scoreboard_alive",""
"flash_scoreboard_enemyKills","Enemy Team Kills"
"flash_scoreboard_icon0","Player"
"flash_scoreboard_icon1","Death Timer"
"flash_scoreboard_icon2","Kills"
"flash_scoreboard_icon3","Deaths"
"flash_scoreboard_icon4","Assists"
"flash_scoreboard_icon5","Items"
"flash_scoreboard_icon6","Minions Killed"
"flash_scoreboard_icon7","Ultimate Ready"
"flash_scoreboard_icon8","Buildings Killed"
"flash_scoreboard_icon9","Personal Score"
"flash_scoreboard_summoner_spells","Summoner Spells"
"flash_scoreboard_teamKills","Team Kills"
"flash_scoreboard_title","Kills / Deaths / Assists"
"flash_scoreboard_ultimate_not_ready","NO"
"flash_scoreboard_ultimate_ready","YES"
"flash_surrender_confirmNo","You voted no."
"flash_surrender_confirmYes","You voted yes."
"flash_surrender_no","NO"
"flash_surrender_title","Surrender"
"flash_surrender_yes","YES"
"flash_target_AttributeTitle0","Ability Power"
"flash_target_AttributeTitle1","Attack"
"flash_target_AttributeTitle2","Movement Speed"
"flash_target_AttributeTitle3","Armor"
"flash_target_PiwStats","Stats"
"flash_tip_dialogue_button_continue","Continue"
"flash_titan_ButtonBar_KDALabel","Kills / Deaths / Assists"
"flash_titan_icon0","Kills"
"flash_titan_icon1","Deaths"
"flash_titan_icon2","Assists"
"flash_titan_icon3","Team Kills"
"flash_titan_icon4","Enemy Team Kills"
"flash_titan_icon5","Personal Score"
"game_advanced_tutorial_quest_name_ancient_golem","Defeat the Ancient Golem"
"game_advanced_tutorial_quest_name_buy_boots","Purchase Boots in the Shop"
"game_advanced_tutorial_quest_name_dragon","Slay the Dragon"
"game_advanced_tutorial_quest_name_front_turret","Destroy an Enemy Turret"
"game_advanced_tutorial_quest_name_inhibitor","Destroy an Enemy Inhibitor"
"game_advanced_tutorial_quest_name_kill_minions","Slay 5 Enemy Minions"
"game_advanced_tutorial_quest_name_lane_turrets","Destroy All Enemy Turrets in a Lane"
"game_advanced_tutorial_quest_name_lizard_elder","Defeat the Lizard Elder"
"game_advanced_tutorial_quest_name_move_to_lane","Exit the Base"
"game_advanced_tutorial_quest_name_nexus","Destroy the Enemy Nexus"
"game_advanced_tutorial_quest_name_nexus_turrets","Destroy the Turrets Protecting the Enemy Nexus"
"game_advanced_tutorial_quest_name_primary_quests","Primary Quests Appear Here"
"game_advanced_tutorial_quest_name_recall","Use the Recall Spell"
"game_advanced_tutorial_quest_name_secondary_quests","Secondary Quests Appear Here"
"game_advanced_tutorial_quest_name_slay_champion","Slay an Enemy Champion"
"game_advanced_tutorial_quest_name_starting_item","Purchase a Starting Item"
"game_advanced_tutorial_quest_name_view_quest_tooltip","Move Your Mouse Cursor Here"
"game_advanced_tutorial_quest_name_wolves","Defeat the Wolves"
"game_advanced_tutorial_quest_name_wraiths","Defeat the Wraiths"
"game_advanced_tutorial_quest_tooltip_ancient_golem","<subtitleLeft>Defeat the Ancient Golem</subtitleLeft><mainText><br>The Ancient Golem can be found in the west jungle, south of the river.  Defeat him to earn extra experience points and gold, as well as a special buff for your champion.<br></mainText><postScriptTitle>Click to see the Ancient Golem's location<br></postScriptTitle><postScriptLeft>Reward: 200g</postScriptLeft>"
"game_advanced_tutorial_quest_tooltip_buy_boots","<subtitleLeft>Purchase Boots in the Shop</subtitleLeft><mainText><br>Visit the shop at the summoner platform and purchase a set of boots.  You'll find boots in the MOVEMENT section of the shop, as well as on your recommended items list.<br><br>Movement speed is important for reducing travel time, catching opponents on the run, and escaping enemies who are chasing you.<br></mainText><postScriptLeft>Reward: 100g</postScriptLeft>"
"game_advanced_tutorial_quest_tooltip_dragon","<subtitleLeft>Slay the Dragon</subtitleLeft><mainText><br>The Dragon lives on the south side of the southern river.  Defeat it to earn extra gold for your entire team.<br></mainText><postScriptTitle>Click to see the Dragon's location<br></postScriptTitle><postScriptLeft>Reward: 300g</postScriptLeft>"
